1,0,8,年,0,7,月,1,6,日, ,外,資,及,陸,資,買,賣,超,彙,總,表
,證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
 ,1514  ,亞力            ,"240,000","44,000","196,000",0,0,0,"240,000","44,000","196,000"
 ,5876  ,上海商銀        ,"1,931,555","1,735,956","195,599",0,0,0,"1,931,555","1,735,956","195,599"
 ,4906  ,正文            ,"539,000","346,000","193,000",0,0,0,"539,000","346,000","193,000"
 ,8039  ,台虹            ,"519,000","326,000","193,000",0,0,0,"519,000","326,000","193,000"
 ,2498  ,宏達電          ,"837,000","650,000","187,000",0,0,0,"837,000","650,000","187,000"
 ,2314  ,台揚            ,"319,000","134,000","185,000",0,0,0,"319,000","134,000","185,000"
 ,6120  ,達運            ,"314,000","129,000","185,000",0,0,0,"314,000","129,000","185,000"
 ,8131  ,福懋科          ,"508,000","325,000","183,000",0,0,0,"508,000","325,000","183,000"
 ,2617  ,台航            ,"285,000","104,000","181,000",0,0,0,"285,000","104,000","181,000"
 ,2601  ,益航            ,"306,000","126,000","180,000",0,0,0,"306,000","126,000","180,000"
 ,1522  ,堤維西          ,"239,000","62,000","177,000",0,0,0,"239,000","62,000","177,000"
 ,1305  ,華夏            ,"478,000","305,191","172,809",0,0,0,"478,000","305,191","172,809"
 ,6285  ,啟碁            ,"312,000","142,000","170,000",0,0,0,"312,000","142,000","170,000"
 ,2406  ,國碩            ,"281,000","112,000","169,000",0,0,0,"281,000","112,000","169,000"
 ,3698  ,隆達            ,"223,000","55,000","168,000",0,0,0,"223,000","55,000","168,000"
 ,9924  ,福興            ,"263,000","95,600","167,400",0,0,0,"263,000","95,600","167,400"
 ,2499  ,東貝            ,"279,000","112,000","167,000",0,0,0,"279,000","112,000","167,000"
 ,1710  ,東聯            ,"422,000","257,000","165,000",0,0,0,"422,000","257,000","165,000"
 ,2913  ,農林            ,"191,000","32,000","159,000",0,0,0,"191,000","32,000","159,000"
 ,2838  ,聯邦銀          ,"212,000","59,000","153,000",0,0,0,"212,000","59,000","153,000"
 ,3645  ,達邁            ,"202,000","50,000","152,000",0,0,0,"202,000","50,000","152,000"
 ,3535  ,晶彩科          ,"239,000","94,000","145,000",0,0,0,"239,000","94,000","145,000"
 ,00638R,元大滬深300反1  ,"142,000","2,000","140,000",0,0,0,"142,000","2,000","140,000"
 ,3419  ,譁裕            ,"151,000","12,000","139,000",0,0,0,"151,000","12,000","139,000"
 ,042705,台積電亞東93購01,"135,000",0,"135,000",0,0,0,"135,000",0,"135,000"
 ,5519  ,隆大            ,"565,000","432,000","133,000",0,0,0,"565,000","432,000","133,000"
 ,00665L,富邦恒生國企正2 ,"126,000",0,"126,000",0,0,0,"126,000",0,"126,000"
 ,6191  ,精成科          ,"203,000","77,000","126,000",0,0,0,"203,000","77,000","126,000"
